Ссылка на модель,Ссылка на объявление,Регион,Марка,Кол-во об. марки,Ссылка на марку,Модель,Кол-во об. модели,id,link,used,sold,title,price,place,generation,year,body,color,engine,package,tax,transmission,driver,captcha,Характеристики модели,has_package,need_selenium,captcha_package,Кондиционер,Усилитель руля,Бортовой компьютер,Электропривод зеркал,Регулировка руля по высоте,Электростеклоподъемники передние,Дневные ходовые огни,Электрообогрев боковых зеркал,Розетка 12V,Аудиоподготовка,Диски 14,Стальные диски,Центральный замок,ЭРА-ГЛОНАСС,Блокировка замков задних дверей,Антиблокировочная система (ABS),Система помощи при торможении (BAS; EBD),Крепление детского кресла (задний ряд) ISOFIX,Полноразмерное запасное колесо,Тип передней подвески ,Тип задней подвески ,Передние тормоза ,Задние тормоза ,Максимальная скорость ,Разгон до 100 км/ч ,"Расход топлива, город/трасса/смешанный ",Марка топлива ,Экологический класс ,Тип двигателя ,Расположение двигателя ,Объем двигателя ,Тип наддува ,Максимальная мощность ,Максимальный крутящий момент ,Расположение цилиндров ,Количество цилиндров ,Число клапанов на цилиндр ,Система питания двигателя ,Степень сжатия ,Диаметр цилиндра и ход поршня ,Страна марки ,Класс автомобиля ,Количество дверей ,Количество мест ,Расположение руля ,Длина ,Ширина ,Высота ,Колёсная база ,Клиренс ,Ширина передней колеи ,Ширина задней колеи ,Размер колёс ,Сверловка ,Размеры дисков ,Объем багажника мин/макс ,Объём топливного бака ,Снаряженная масса ,Полная масса ,Коробка передач ,Количество передач ,Тип привода ,Подогрев передних сидений,Складывающееся заднее сиденье,Аудиосистема,Камера задняя,Парктроник задний,Электрообогрев лобового стекла,Ткань (Материал салона),USB,CarPlay,Bluetooth,Яндекс Авто,Android Auto,Голосовое управление,Мультимедиа система с ЖК-экраном,Диски 15,Декоративные молдинги,Иммобилайзер,Подушка безопасности водителя,Подушка безопасности пассажира
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/21377674/23925212/1123536619-3a0a5d24/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123536619-3a0a5d2,https://auto.ru/cars/new/group/vaz/granta/21377674/23925212/1123536619-3a0a5d24/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 359 000 ₽,Яблоновский,I Рестайлинг,2024,Лифтбек,Чёрный,1.6 л / 106 л.с. / бензин,#CLUB'24 EnjoY Pro,2 650 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377429/specifications/21377429_23925212_21377674/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,183 км/ч,10.6 с,8.7/5.2/6.5 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,106 л.с. (78 кВт) при 5800 об/мин,148 Н*м при 4200 об/мин,рядное ,4.0,4.0,распределенный впрыск (многоточечный) ,11.0,82.0x75.6 мм,Россия ,B ,5.0,5.0,Левый ,4250 мм,1700 мм,1500 мм,2476 мм,190 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"6x15 ET35, 5.5x14 ET35 ",435/750 л,50 л,1085 кг,1560 кг,Механика ,5.0,передний ,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/21377540/23924470/1123553465-ff5a6c80/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123553465-ff5a6c8,https://auto.ru/cars/new/group/vaz/granta/21377540/23924470/1123553465-ff5a6c80/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 426 000 ₽,Яблоновский,I Рестайлинг,2024,Седан,Чёрный,1.6 л / 106 л.с. / бензин,Comfort'24,2 650 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377430/specifications/21377430_23924470_21377540/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,184 км/ч,10.5 с,8.7/5.2/6.5 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,106 л.с. (78 кВт) при 5800 об/мин,148 Н*м при 4200 об/мин,рядное ,4.0,4.0,распределенный впрыск (многоточечный) ,11.0,82.0x75.6 мм,Россия ,B ,4.0,5.0,Левый ,4268 мм,1700 мм,1500 мм,2476 мм,180 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"5.5x14 ET35, 6x15 ET35 ",520/815 л,50 л,1075 кг,1560 кг,Механика ,5.0,передний ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/21377674/23925212/1123536101-d1c70758/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123536101-d1c7075,https://auto.ru/cars/new/group/vaz/granta/21377674/23925212/1123536101-d1c70758/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 359 000 ₽,Яблоновский,I Рестайлинг,2024,Лифтбек,Белый,1.6 л / 106 л.с. / бензин,#CLUB'24 EnjoY Pro,2 650 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377429/specifications/21377429_23925212_21377674/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,183 км/ч,10.6 с,8.7/5.2/6.5 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,106 л.с. (78 кВт) при 5800 об/мин,148 Н*м при 4200 об/мин,рядное ,4.0,4.0,распределенный впрыск (многоточечный) ,11.0,82.0x75.6 мм,Россия ,B ,5.0,5.0,Левый ,4250 мм,1700 мм,1500 мм,2476 мм,190 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"6x15 ET35, 5.5x14 ET35 ",435/750 л,50 л,1085 кг,1560 кг,Механика ,5.0,передний ,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/22880448/23924448/1123481699-3141724b/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123481699-3141724,https://auto.ru/cars/new/group/vaz/granta/22880448/23924448/1123481699-3141724b/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 107 000 ₽,Яблоновский,I Рестайлинг,2024,Седан,Серый,1.6 л / 90 л.с. / бензин,Classic'24 Кондиционер,1 080 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377430/specifications/21377430_23924448_22880448/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,179 км/ч,11.2 с,9.4/5.3/6.8 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,90 л.с. (66 кВт) при 5000 об/мин,143 Н*м при 3800 об/мин,рядное ,4.0,2.0,распределенный впрыск (многоточечный) ,10.5,82.0x75.6 мм,Россия ,B ,4.0,5.0,Левый ,4268 мм,1700 мм,1500 мм,2476 мм,180 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"5.5x14 ET35, 6x15 ET35 ",520/815 л,50 л,1075 кг,1560 кг,Механика ,5.0,передний ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/21377674/23925212/1123536619-3a0a5d24/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123536619-3a0a5d2,https://auto.ru/cars/new/group/vaz/granta/21377674/23925212/1123536619-3a0a5d24/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 359 000 ₽,Яблоновский,I Рестайлинг,2024,Лифтбек,Чёрный,1.6 л / 106 л.с. / бензин,#CLUB'24 EnjoY Pro,2 650 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377429/specifications/21377429_23925212_21377674/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,183 км/ч,10.6 с,8.7/5.2/6.5 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,106 л.с. (78 кВт) при 5800 об/мин,148 Н*м при 4200 об/мин,рядное ,4.0,4.0,распределенный впрыск (многоточечный) ,11.0,82.0x75.6 мм,Россия ,B ,5.0,5.0,Левый ,4250 мм,1700 мм,1500 мм,2476 мм,190 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"6x15 ET35, 5.5x14 ET35 ",435/750 л,50 л,1085 кг,1560 кг,Механика ,5.0,передний ,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/21377540/23924470/1123553465-ff5a6c80/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123553465-ff5a6c8,https://auto.ru/cars/new/group/vaz/granta/21377540/23924470/1123553465-ff5a6c80/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 426 000 ₽,Яблоновский,I Рестайлинг,2024,Седан,Чёрный,1.6 л / 106 л.с. / бензин,Comfort'24,2 650 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377430/specifications/21377430_23924470_21377540/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,184 км/ч,10.5 с,8.7/5.2/6.5 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,106 л.с. (78 кВт) при 5800 об/мин,148 Н*м при 4200 об/мин,рядное ,4.0,4.0,распределенный впрыск (многоточечный) ,11.0,82.0x75.6 мм,Россия ,B ,4.0,5.0,Левый ,4268 мм,1700 мм,1500 мм,2476 мм,180 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"5.5x14 ET35, 6x15 ET35 ",520/815 л,50 л,1075 кг,1560 кг,Механика ,5.0,передний ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/21377674/23925212/1123529484-1888bb62/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123529484-1888bb6,https://auto.ru/cars/new/group/vaz/granta/21377674/23925212/1123529484-1888bb62/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 374 000 ₽,Яблоновский,I Рестайлинг,2024,Лифтбек,Серый,1.6 л / 106 л.с. / бензин,#CLUB'24 EnjoY Pro,2 650 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377429/specifications/21377429_23925212_21377674/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,183 км/ч,10.6 с,8.7/5.2/6.5 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,106 л.с. (78 кВт) при 5800 об/мин,148 Н*м при 4200 об/мин,рядное ,4.0,4.0,распределенный впрыск (многоточечный) ,11.0,82.0x75.6 мм,Россия ,B ,5.0,5.0,Левый ,4250 мм,1700 мм,1500 мм,2476 мм,190 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"6x15 ET35, 5.5x14 ET35 ",435/750 л,50 л,1085 кг,1560 кг,Механика ,5.0,передний ,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/22880489/23925226/1123497252-8c155686/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123497252-8c15568,https://auto.ru/cars/new/group/vaz/granta/22880489/23925226/1123497252-8c155686/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 178 000 ₽,Яблоновский,I Рестайлинг,2024,Лифтбек,Чёрный,1.6 л / 90 л.с. / бензин,Comfort'24,1 080 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377429/specifications/21377429_23925226_22880489/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,178 км/ч,11.3 с,9.4/5.3/6.8 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,90 л.с. (66 кВт) при 5000 об/мин,143 Н*м при 3800 об/мин,рядное ,4.0,2.0,распределенный впрыск (многоточечный) ,10.5,82.0x75.6 мм,Россия ,B ,5.0,5.0,Левый ,4250 мм,1700 мм,1500 мм,2476 мм,180 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"5.5x14 ET35, 6x15 ET35 ",440/760 л,50 л,1085 кг,1560 кг,Механика ,5.0,передний ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/22880448/23924448/1123528096-95df080b/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123528096-95df080,https://auto.ru/cars/new/group/vaz/granta/22880448/23924448/1123528096-95df080b/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 092 000 ₽,Яблоновский,I Рестайлинг,2024,Седан,Белый,1.6 л / 90 л.с. / бензин,Classic'24 Кондиционер,1 080 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377430/specifications/21377430_23924448_22880448/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,179 км/ч,11.2 с,9.4/5.3/6.8 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,90 л.с. (66 кВт) при 5000 об/мин,143 Н*м при 3800 об/мин,рядное ,4.0,2.0,распределенный впрыск (многоточечный) ,10.5,82.0x75.6 мм,Россия ,B ,4.0,5.0,Левый ,4268 мм,1700 мм,1500 мм,2476 мм,180 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"5.5x14 ET35, 6x15 ET35 ",520/815 л,50 л,1075 кг,1560 кг,Механика ,5.0,передний ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/22880489/23925226/1123497248-f1923319/?geo_id=11004,adygeya,Lada (ВАЗ),650,https://auto.ru/adygeya/cars/vaz/all/,Granta,249,1123497248-f192331,https://auto.ru/cars/new/group/vaz/granta/22880489/23925226/1123497248-f1923319/?geo_id=11004,0,0,"Lada (ВАЗ) Granta, 2024",1 152 000 ₽,Яблоновский,I Рестайлинг,2024,Лифтбек,Белый,1.6 л / 90 л.с. / бензин,Comfort'24,1 080 ₽ / год,Механическая,Передний,0,https://auto.ru/catalog/cars/vaz/granta/21377296/21377429/specifications/21377429_23925226_22880489/?geo_id=11004,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"независимая, пружинная ","полунезависимая, пружинная ",дисковые вентилируемые ,барабанные ,178 км/ч,11.3 с,9.4/5.3/6.8 л/100 км,АИ-95 ,Euro 5 ,бензиновый ,"переднее, поперечное ",1596 см³,нет ,90 л.с. (66 кВт) при 5000 об/мин,143 Н*м при 3800 об/мин,рядное ,4.0,2.0,распределенный впрыск (многоточечный) ,10.5,82.0x75.6 мм,Россия ,B ,5.0,5.0,Левый ,4250 мм,1700 мм,1500 мм,2476 мм,180 мм,1430 мм,1414 мм,"175/65/R14, 185/60/R14, 185/55/R15 ",DIA58.5 4x98 мм,"5.5x14 ET35, 6x15 ET35 ",440/760 л,50 л,1085 кг,1560 кг,Механика ,5.0,передний ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
