Ссылка на модель,Ссылка на объявление
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123180064-e86d5c3c/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123463612-ff5723fc/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123579526-dcd072bb/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/22880489/23936637/1123638313-d31e1591/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/22880448/23924448/1123608244-0759156d/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123523286-06d750f5/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/22880448/23924448/1123650239-9e8d2b71/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123041985-5a1918be/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/21377540/23578427/1123631640-628bec0a/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123621993-d2e2daab/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/22880448/23924510/1123635041-c8fbfde8/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123584424-a288633c/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/new/group/vaz/granta/22880489/23936637/1123638312-f1b07f77/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123346507-a15e1892/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123564190-96ed9536/?geo_id=11004
https://auto.ru/adygeya/cars/vaz/granta/all/,https://auto.ru/cars/used/sale/vaz/granta/1123609024-5a815754/?geo_id=11004
